project_title,description,category,sensors,actuators,controllers,components
Obstacle Avoiding Robot,robot avoids obstacles variation 47,Robotics,Motion Sensor,LED,ESP8266,Motion Sensor|LED|ESP8266
Smart Parking,detect parking availability variation 48,IoT,Gas Sensor|Humidity Sensor,None,ESP8266,Gas Sensor|Humidity Sensor|ESP8266
Smart Irrigation,automatic watering using soil moisture variation 49,IoT,Flame Sensor,None,ESP8266,Flame Sensor|ESP8266
Line Following Robot,robot follows path using IR sensors variation 50,Robotics,Gas Sensor|Ultrasonic Sensor,Relay,ESP32,Gas Sensor|Ultrasonic Sensor|Relay|ESP32
Air Quality Monitoring,monitor pollution levels variation 51,IoT,Motion Sensor,Motor Driver,ESP8266,Motion Sensor|Motor Driver|ESP8266
Smart Farming,monitor agriculture conditions variation 52,IoT,Motion Sensor|Temperature Sensor,Buzzer,Arduino,Motion Sensor|Temperature Sensor|Buzzer|Arduino
Fire Detection,detect fire using flame sensor variation 53,IoT,Temperature Sensor|LDR Sensor,LED,Arduino,Temperature Sensor|LDR Sensor|LED|Arduino
Smart Parking,detect parking availability variation 54,IoT,LDR Sensor,None,Arduino,LDR Sensor|Arduino
Fire Detection,detect fire using flame sensor variation 55,IoT,Motion Sensor,LED,Arduino,Motion Sensor|LED|Arduino
Fire Detection,detect fire using flame sensor variation 56,IoT,Ultrasonic Sensor,Water Pump,ESP8266,Ultrasonic Sensor|Water Pump|ESP8266
Smart Irrigation,automatic watering using soil moisture variation 57,IoT,Motion Sensor|Soil Sensor,None,ESP8266,Motion Sensor|Soil Sensor|ESP8266
Water Level Indicator,monitor water level in tank variation 58,IoT,IR Sensor,Relay,ESP32,IR Sensor|Relay|ESP32
Obstacle Avoiding Robot,robot avoids obstacles variation 59,Robotics,Humidity Sensor,None,Arduino,Humidity Sensor|Arduino
Smart Irrigation,automatic watering using soil moisture variation 60,IoT,Temperature Sensor|Humidity Sensor,None,ESP32,Temperature Sensor|Humidity Sensor|ESP32
Smart Security System,detect intruders using sensors variation 61,IoT,IR Sensor,None,Arduino,IR Sensor|Arduino
Smart Irrigation,automatic watering using soil moisture variation 62,IoT,LDR Sensor,None,ESP32,LDR Sensor|ESP32
Line Following Robot,robot follows path using IR sensors variation 63,Robotics,Motion Sensor|IR Sensor,Water Pump,ESP32,Motion Sensor|IR Sensor|Water Pump|ESP32
Smart Farming,monitor agriculture conditions variation 64,IoT,IR Sensor,Buzzer,Arduino,IR Sensor|Buzzer|Arduino
Smart Security System,detect intruders using sensors variation 65,IoT,Motion Sensor|Gas Sensor,LED,ESP8266,Motion Sensor|Gas Sensor|LED|ESP8266
Home Automation,control home devices using wifi variation 66,IoT,Soil Sensor|Temperature Sensor,None,ESP8266,Soil Sensor|Temperature Sensor|ESP8266
Smart Security System,detect intruders using sensors variation 67,IoT,Temperature Sensor,Servo Motor,ESP8266,Temperature Sensor|Servo Motor|ESP8266
Smart Irrigation,automatic watering using soil moisture variation 68,IoT,Flame Sensor|Humidity Sensor,None,ESP32,Flame Sensor|Humidity Sensor|ESP32
Fire Detection,detect fire using flame sensor variation 69,IoT,Soil Sensor,LED,ESP8266,Soil Sensor|LED|ESP8266
Line Following Robot,robot follows path using IR sensors variation 70,Robotics,IR Sensor,None,ESP32,IR Sensor|ESP32
Air Quality Monitoring,monitor pollution levels variation 71,IoT,Temperature Sensor|Motion Sensor,None,ESP32,Temperature Sensor|Motion Sensor|ESP32
Water Level Indicator,monitor water level in tank variation 72,IoT,Gas Sensor|LDR Sensor,Servo Motor,ESP32,Gas Sensor|LDR Sensor|Servo Motor|ESP32
Obstacle Avoiding Robot,robot avoids obstacles variation 73,Robotics,IR Sensor,None,ESP32,IR Sensor|ESP32
Home Automation,control home devices using wifi variation 74,IoT,IR Sensor|LDR Sensor,Relay,Arduino,IR Sensor|LDR Sensor|Relay|Arduino
Smart Farming,monitor agriculture conditions variation 75,IoT,Motion Sensor|Temperature Sensor,Servo Motor,ESP32,Motion Sensor|Temperature Sensor|Servo Motor|ESP32
Smart Irrigation,automatic watering using soil moisture variation 76,IoT,Gas Sensor,Relay,ESP32,Gas Sensor|Relay|ESP32
Smart Parking,detect parking availability variation 77,IoT,LDR Sensor|Soil Sensor,Buzzer,ESP32,LDR Sensor|Soil Sensor|Buzzer|ESP32
Fire Detection,detect fire using flame sensor variation 78,IoT,Motion Sensor|Humidity Sensor,None,ESP32,Motion Sensor|Humidity Sensor|ESP32
Obstacle Avoiding Robot,robot avoids obstacles variation 79,Robotics,LDR Sensor|IR Sensor,Buzzer,Arduino,LDR Sensor|IR Sensor|Buzzer|Arduino
Smart Lighting,automatic lighting control variation 80,IoT,Humidity Sensor|IR Sensor,None,ESP8266,Humidity Sensor|IR Sensor|ESP8266
Weather Monitoring,monitor temperature and humidity variation 81,IoT,Motion Sensor|LDR Sensor,Valve,Arduino,Motion Sensor|LDR Sensor|Valve|Arduino
Line Following Robot,robot follows path using IR sensors variation 82,Robotics,Temperature Sensor,None,ESP8266,Temperature Sensor|ESP8266
Home Automation,control home devices using wifi variation 83,IoT,Gas Sensor,Relay,ESP8266,Gas Sensor|Relay|ESP8266
Smart Security System,detect intruders using sensors variation 84,IoT,IR Sensor,Buzzer,ESP8266,IR Sensor|Buzzer|ESP8266
Obstacle Avoiding Robot,robot avoids obstacles variation 85,Robotics,Temperature Sensor,None,Arduino,Temperature Sensor|Arduino
Smart Security System,detect intruders using sensors variation 86,IoT,Temperature Sensor|Soil Sensor,None,Arduino,Temperature Sensor|Soil Sensor|Arduino
Line Following Robot,robot follows path using IR sensors variation 87,Robotics,IR Sensor,None,Arduino,IR Sensor|Arduino
Smart Parking,detect parking availability variation 88,IoT,Soil Sensor|Gas Sensor,None,Arduino,Soil Sensor|Gas Sensor|Arduino
Fire Detection,detect fire using flame sensor variation 89,IoT,IR Sensor,Relay,ESP32,IR Sensor|Relay|ESP32
Line Following Robot,robot follows path using IR sensors variation 90,Robotics,LDR Sensor,None,ESP8266,LDR Sensor|ESP8266
Smart Irrigation,automatic watering using soil moisture variation 91,IoT,IR Sensor|Flame Sensor,Water Pump,Arduino,IR Sensor|Flame Sensor|Water Pump|Arduino
Smart Parking,detect parking availability variation 92,IoT,Flame Sensor,LED,Arduino,Flame Sensor|LED|Arduino
Smart Irrigation,automatic watering using soil moisture variation 93,IoT,Temperature Sensor|Soil Sensor,None,ESP8266,Temperature Sensor|Soil Sensor|ESP8266
Fire Detection,detect fire using flame sensor variation 94,IoT,Temperature Sensor,Motor Driver,ESP32,Temperature Sensor|Motor Driver|ESP32
Smart Farming,monitor agriculture conditions variation 95,IoT,Ultrasonic Sensor|Soil Sensor,Relay,ESP8266,Ultrasonic Sensor|Soil Sensor|Relay|ESP8266
Home Automation,control home devices using wifi variation 96,IoT,Motion Sensor|IR Sensor,Valve,ESP8266,Motion Sensor|IR Sensor|Valve|ESP8266
Smart Lighting,automatic lighting control variation 97,IoT,Motion Sensor,None,ESP32,Motion Sensor|ESP32
Smart Lighting,automatic lighting control variation 98,IoT,Motion Sensor|Ultrasonic Sensor,Relay,Arduino,Motion Sensor|Ultrasonic Sensor|Relay|Arduino
Water Level Indicator,monitor water level in tank variation 99,IoT,IR Sensor|Motion Sensor,None,Arduino,IR Sensor|Motion Sensor|Arduino
Fire Detection,detect fire using flame sensor variation 100,IoT,Humidity Sensor|Motion Sensor,Motor Driver,Arduino,Humidity Sensor|Motion Sensor|Motor Driver|Arduino
Fire Detection,detect fire using flame sensor variation 101,IoT,Temperature Sensor|LDR Sensor,None,ESP32,Temperature Sensor|LDR Sensor|ESP32
Home Automation,control home devices using wifi variation 102,IoT,Flame Sensor,None,Arduino,Flame Sensor|Arduino
Line Following Robot,robot follows path using IR sensors variation 103,Robotics,Humidity Sensor|LDR Sensor,Motor Driver,Arduino,Humidity Sensor|LDR Sensor|Motor Driver|Arduino
Smart Irrigation,automatic watering using soil moisture variation 104,IoT,Gas Sensor|Ultrasonic Sensor,Relay,ESP8266,Gas Sensor|Ultrasonic Sensor|Relay|ESP8266
Smart Irrigation,automatic watering using soil moisture variation 105,IoT,Gas Sensor|IR Sensor,None,ESP8266,Gas Sensor|IR Sensor|ESP8266
Smart Parking,detect parking availability variation 106,IoT,Gas Sensor,Relay,ESP32,Gas Sensor|Relay|ESP32
Smart Farming,monitor agriculture conditions variation 107,IoT,LDR Sensor,Servo Motor,ESP32,LDR Sensor|Servo Motor|ESP32
Smart Farming,monitor agriculture conditions variation 108,IoT,Ultrasonic Sensor|Temperature Sensor,None,Arduino,Ultrasonic Sensor|Temperature Sensor|Arduino
Obstacle Avoiding Robot,robot avoids obstacles variation 109,Robotics,Humidity Sensor,None,ESP32,Humidity Sensor|ESP32
Smart Parking,detect parking availability variation 110,IoT,Gas Sensor,None,Arduino,Gas Sensor|Arduino
Weather Monitoring,monitor temperature and humidity variation 111,IoT,Humidity Sensor|Ultrasonic Sensor,None,ESP32,Humidity Sensor|Ultrasonic Sensor|ESP32
Fire Detection,detect fire using flame sensor variation 112,IoT,LDR Sensor|Motion Sensor,None,Arduino,LDR Sensor|Motion Sensor|Arduino
Fire Detection,detect fire using flame sensor variation 113,IoT,Humidity Sensor|Motion Sensor,None,Arduino,Humidity Sensor|Motion Sensor|Arduino
Obstacle Avoiding Robot,robot avoids obstacles variation 114,Robotics,Humidity Sensor,Water Pump,ESP32,Humidity Sensor|Water Pump|ESP32
Smart Farming,monitor agriculture conditions variation 115,IoT,IR Sensor,Relay,ESP8266,IR Sensor|Relay|ESP8266
Water Level Indicator,monitor water level in tank variation 116,IoT,LDR Sensor,Relay,Arduino,LDR Sensor|Relay|Arduino
Weather Monitoring,monitor temperature and humidity variation 117,IoT,Soil Sensor,None,ESP32,Soil Sensor|ESP32
Smart Lighting,automatic lighting control variation 118,IoT,Gas Sensor,None,ESP32,Gas Sensor|ESP32
Line Following Robot,robot follows path using IR sensors variation 119,Robotics,Ultrasonic Sensor|Motion Sensor,Buzzer,Arduino,Ultrasonic Sensor|Motion Sensor|Buzzer|Arduino
Smart Farming,monitor agriculture conditions variation 120,IoT,Temperature Sensor|Flame Sensor,LED,Arduino,Temperature Sensor|Flame Sensor|LED|Arduino
Fire Detection,detect fire using flame sensor variation 121,IoT,Temperature Sensor,Water Pump,ESP32,Temperature Sensor|Water Pump|ESP32
Smart Farming,monitor agriculture conditions variation 122,IoT,Gas Sensor,Servo Motor,ESP32,Gas Sensor|Servo Motor|ESP32
Line Following Robot,robot follows path using IR sensors variation 123,Robotics,Flame Sensor|LDR Sensor,Servo Motor,Arduino,Flame Sensor|LDR Sensor|Servo Motor|Arduino
Obstacle Avoiding Robot,robot avoids obstacles variation 124,Robotics,Temperature Sensor,LED,ESP8266,Temperature Sensor|LED|ESP8266
Smart Farming,monitor agriculture conditions variation 125,IoT,LDR Sensor,None,ESP8266,LDR Sensor|ESP8266
Smart Farming,monitor agriculture conditions variation 126,IoT,Flame Sensor|Temperature Sensor,None,Arduino,Flame Sensor|Temperature Sensor|Arduino
Smart Irrigation,automatic watering using soil moisture variation 127,IoT,Flame Sensor,Relay,Arduino,Flame Sensor|Relay|Arduino
Water Level Indicator,monitor water level in tank variation 128,IoT,Humidity Sensor,Servo Motor,ESP8266,Humidity Sensor|Servo Motor|ESP8266
Air Quality Monitoring,monitor pollution levels variation 129,IoT,Flame Sensor,None,Arduino,Flame Sensor|Arduino
Home Automation,control home devices using wifi variation 130,IoT,Ultrasonic Sensor,Relay,Arduino,Ultrasonic Sensor|Relay|Arduino
Weather Monitoring,monitor temperature and humidity variation 131,IoT,Humidity Sensor,Buzzer,ESP32,Humidity Sensor|Buzzer|ESP32
Line Following Robot,robot follows path using IR sensors variation 132,Robotics,Humidity Sensor,None,ESP8266,Humidity Sensor|ESP8266
Smart Security System,detect intruders using sensors variation 133,IoT,Humidity Sensor,None,ESP8266,Humidity Sensor|ESP8266
Weather Monitoring,monitor temperature and humidity variation 134,IoT,Temperature Sensor,Motor Driver,ESP8266,Temperature Sensor|Motor Driver|ESP8266
Smart Irrigation,automatic watering using soil moisture variation 135,IoT,LDR Sensor|Motion Sensor,Motor Driver,ESP8266,LDR Sensor|Motion Sensor|Motor Driver|ESP8266
Smart Farming,monitor agriculture conditions variation 136,IoT,Ultrasonic Sensor,None,ESP8266,Ultrasonic Sensor|ESP8266
Line Following Robot,robot follows path using IR sensors variation 137,Robotics,Flame Sensor|Gas Sensor,None,ESP32,Flame Sensor|Gas Sensor|ESP32
Home Automation,control home devices using wifi variation 138,IoT,Soil Sensor|Gas Sensor,None,ESP32,Soil Sensor|Gas Sensor|ESP32
Line Following Robot,robot follows path using IR sensors variation 139,Robotics,Temperature Sensor|Motion Sensor,None,ESP8266,Temperature Sensor|Motion Sensor|ESP8266
Smart Farming,monitor agriculture conditions variation 140,IoT,Gas Sensor,Motor Driver,ESP8266,Gas Sensor|Motor Driver|ESP8266
Line Following Robot,robot follows path using IR sensors variation 141,Robotics,Flame Sensor,None,ESP8266,Flame Sensor|ESP8266
Smart Parking,detect parking availability variation 142,IoT,Soil Sensor,LED,ESP32,Soil Sensor|LED|ESP32
Weather Monitoring,monitor temperature and humidity variation 143,IoT,Humidity Sensor,Water Pump,ESP32,Humidity Sensor|Water Pump|ESP32
Weather Monitoring,monitor temperature and humidity variation 144,IoT,Humidity Sensor|Gas Sensor,None,ESP32,Humidity Sensor|Gas Sensor|ESP32
Smart Parking,detect parking availability variation 145,IoT,Motion Sensor|Flame Sensor,None,ESP8266,Motion Sensor|Flame Sensor|ESP8266
Obstacle Avoiding Robot,robot avoids obstacles variation 146,Robotics,Flame Sensor,Valve,ESP8266,Flame Sensor|Valve|ESP8266
Air Quality Monitoring,monitor pollution levels variation 147,IoT,Humidity Sensor|IR Sensor,None,Arduino,Humidity Sensor|IR Sensor|Arduino
Smart Farming,monitor agriculture conditions variation 148,IoT,LDR Sensor,Servo Motor,ESP8266,LDR Sensor|Servo Motor|ESP8266
Fire Detection,detect fire using flame sensor variation 149,IoT,Flame Sensor,None,Arduino,Flame Sensor|Arduino
Home Automation,control home devices using wifi variation 150,IoT,Gas Sensor|Temperature Sensor,LED,ESP8266,Gas Sensor|Temperature Sensor|LED|ESP8266
Obstacle Avoiding Robot,robot avoids obstacles variation 151,Robotics,Flame Sensor|Humidity Sensor,Buzzer,Arduino,Flame Sensor|Humidity Sensor|Buzzer|Arduino
Line Following Robot,robot follows path using IR sensors variation 152,Robotics,Flame Sensor,None,ESP8266,Flame Sensor|ESP8266
Smart Irrigation,automatic watering using soil moisture variation 153,IoT,Soil Sensor|Temperature Sensor,None,ESP32,Soil Sensor|Temperature Sensor|ESP32
Weather Monitoring,monitor temperature and humidity variation 154,IoT,LDR Sensor|Ultrasonic Sensor,None,ESP8266,LDR Sensor|Ultrasonic Sensor|ESP8266
Smart Irrigation,automatic watering using soil moisture variation 155,IoT,Gas Sensor|Temperature Sensor,Valve,ESP8266,Gas Sensor|Temperature Sensor|Valve|ESP8266
Smart Parking,detect parking availability variation 156,IoT,LDR Sensor,Water Pump,Arduino,LDR Sensor|Water Pump|Arduino
Air Quality Monitoring,monitor pollution levels variation 157,IoT,Temperature Sensor,LED,ESP32,Temperature Sensor|LED|ESP32
Smart Parking,detect parking availability variation 158,IoT,Ultrasonic Sensor,LED,ESP8266,Ultrasonic Sensor|LED|ESP8266
Smart Parking,detect parking availability variation 159,IoT,Temperature Sensor|Soil Sensor,Relay,ESP8266,Temperature Sensor|Soil Sensor|Relay|ESP8266
Line Following Robot,robot follows path using IR sensors variation 160,Robotics,Soil Sensor,None,Arduino,Soil Sensor|Arduino
Home Automation,control home devices using wifi variation 161,IoT,Motion Sensor,LED,ESP8266,Motion Sensor|LED|ESP8266
Fire Detection,detect fire using flame sensor variation 162,IoT,Gas Sensor|Humidity Sensor,None,ESP8266,Gas Sensor|Humidity Sensor|ESP8266
Fire Detection,detect fire using flame sensor variation 163,IoT,Motion Sensor|Temperature Sensor,None,Arduino,Motion Sensor|Temperature Sensor|Arduino
Obstacle Avoiding Robot,robot avoids obstacles variation 164,Robotics,Humidity Sensor,None,ESP8266,Humidity Sensor|ESP8266
Weather Monitoring,monitor temperature and humidity variation 165,IoT,Soil Sensor,Motor Driver,Arduino,Soil Sensor|Motor Driver|Arduino
Line Following Robot,robot follows path using IR sensors variation 166,Robotics,Soil Sensor|Temperature Sensor,None,ESP8266,Soil Sensor|Temperature Sensor|ESP8266
Smart Security System,detect intruders using sensors variation 167,IoT,IR Sensor|LDR Sensor,None,Arduino,IR Sensor|LDR Sensor|Arduino
Air Quality Monitoring,monitor pollution levels variation 168,IoT,Ultrasonic Sensor,None,ESP32,Ultrasonic Sensor|ESP32
Smart Irrigation,automatic watering using soil moisture variation 169,IoT,Flame Sensor|IR Sensor,None,Arduino,Flame Sensor|IR Sensor|Arduino
Obstacle Avoiding Robot,robot avoids obstacles variation 170,Robotics,LDR Sensor|Ultrasonic Sensor,None,ESP32,LDR Sensor|Ultrasonic Sensor|ESP32
Fire Detection,detect fire using flame sensor variation 171,IoT,Gas Sensor,Water Pump,Arduino,Gas Sensor|Water Pump|Arduino
Line Following Robot,robot follows path using IR sensors variation 172,Robotics,Soil Sensor|Temperature Sensor,Buzzer,Arduino,Soil Sensor|Temperature Sensor|Buzzer|Arduino
Weather Monitoring,monitor temperature and humidity variation 173,IoT,Ultrasonic Sensor|IR Sensor,Valve,Arduino,Ultrasonic Sensor|IR Sensor|Valve|Arduino
Smart Farming,monitor agriculture conditions variation 174,IoT,Temperature Sensor|LDR Sensor,None,ESP8266,Temperature Sensor|LDR Sensor|ESP8266
Line Following Robot,robot follows path using IR sensors variation 175,Robotics,LDR Sensor|Soil Sensor,Relay,ESP8266,LDR Sensor|Soil Sensor|Relay|ESP8266
Water Level Indicator,monitor water level in tank variation 176,IoT,Motion Sensor,None,Arduino,Motion Sensor|Arduino
Line Following Robot,robot follows path using IR sensors variation 177,Robotics,Ultrasonic Sensor|LDR Sensor,None,ESP32,Ultrasonic Sensor|LDR Sensor|ESP32
Obstacle Avoiding Robot,robot avoids obstacles variation 178,Robotics,Flame Sensor,Relay,ESP8266,Flame Sensor|Relay|ESP8266
Home Automation,control home devices using wifi variation 179,IoT,Humidity Sensor|Gas Sensor,Valve,ESP8266,Humidity Sensor|Gas Sensor|Valve|ESP8266
Fire Detection,detect fire using flame sensor variation 180,IoT,Humidity Sensor|Motion Sensor,Water Pump,ESP8266,Humidity Sensor|Motion Sensor|Water Pump|ESP8266
Obstacle Avoiding Robot,robot avoids obstacles variation 181,Robotics,Humidity Sensor|IR Sensor,Water Pump,Arduino,Humidity Sensor|IR Sensor|Water Pump|Arduino
Obstacle Avoiding Robot,robot avoids obstacles variation 182,Robotics,Gas Sensor,None,ESP32,Gas Sensor|ESP32
Home Automation,control home devices using wifi variation 183,IoT,IR Sensor,None,ESP8266,IR Sensor|ESP8266
Smart Security System,detect intruders using sensors variation 184,IoT,Motion Sensor|Flame Sensor,None,ESP32,Motion Sensor|Flame Sensor|ESP32
Air Quality Monitoring,monitor pollution levels variation 185,IoT,Motion Sensor|Soil Sensor,Valve,ESP8266,Motion Sensor|Soil Sensor|Valve|ESP8266
Fire Detection,detect fire using flame sensor variation 186,IoT,Ultrasonic Sensor,None,ESP32,Ultrasonic Sensor|ESP32
Obstacle Avoiding Robot,robot avoids obstacles variation 187,Robotics,Motion Sensor,Motor Driver,Arduino,Motion Sensor|Motor Driver|Arduino
Smart Parking,detect parking availability variation 188,IoT,LDR Sensor|Temperature Sensor,None,ESP32,LDR Sensor|Temperature Sensor|ESP32
Smart Lighting,automatic lighting control variation 189,IoT,Flame Sensor,None,ESP8266,Flame Sensor|ESP8266
Fire Detection,detect fire using flame sensor variation 190,IoT,Temperature Sensor|Ultrasonic Sensor,Motor Driver,ESP32,Temperature Sensor|Ultrasonic Sensor|Motor Driver|ESP32
Smart Parking,detect parking availability variation 191,IoT,Temperature Sensor,None,Arduino,Temperature Sensor|Arduino
Smart Security System,detect intruders using sensors variation 192,IoT,Humidity Sensor|Motion Sensor,None,ESP8266,Humidity Sensor|Motion Sensor|ESP8266
Smart Lighting,automatic lighting control variation 193,IoT,IR Sensor|Flame Sensor,LED,ESP32,IR Sensor|Flame Sensor|LED|ESP32
Smart Security System,detect intruders using sensors variation 194,IoT,Gas Sensor,None,ESP8266,Gas Sensor|ESP8266
Line Following Robot,robot follows path using IR sensors variation 195,Robotics,Motion Sensor,None,ESP8266,Motion Sensor|ESP8266
Smart Lighting,automatic lighting control variation 196,IoT,Ultrasonic Sensor|Gas Sensor,Valve,ESP8266,Ultrasonic Sensor|Gas Sensor|Valve|ESP8266
Air Quality Monitoring,monitor pollution levels variation 197,IoT,Motion Sensor|Soil Sensor,None,ESP8266,Motion Sensor|Soil Sensor|ESP8266
Obstacle Avoiding Robot,robot avoids obstacles variation 198,Robotics,IR Sensor|LDR Sensor,None,Arduino,IR Sensor|LDR Sensor|Arduino
Smart Security System,detect intruders using sensors variation 199,IoT,Soil Sensor|Gas Sensor,Servo Motor,ESP32,Soil Sensor|Gas Sensor|Servo Motor|ESP32
Weather Monitoring,monitor temperature and humidity variation 200,IoT,IR Sensor,Buzzer,Arduino,IR Sensor|Buzzer|Arduino
